id,name,description,manufacturer,price
10011646,"Linksys EtherFast EZXS88W Ethernet Switch - EZXS88W","Linksys EtherFast 8-Port 10/100 Switch (New/Workgroup)","LINKSYS",
10140760,"Linksys EtherFast EZXS55W Ethernet Switch","5 x 10/100Base-TX LAN","LINKSYS",
10221960,"Netgear ProSafe FS105 Ethernet Switch - FS105NA","NETGEAR FS105 Prosafe 5 Port 10/100 Desktop Switch","Netgear",
10246269,"Belkin Pro Series High Integrity VGA/SVGA Monitor Extension Cable - F3H982-10","1 x HD-15 - 1 x HD-15 - 10ft - Beige","Belkin",
10315184,"Netgear ProSafe JFS516 Ethernet Switch","Netgear ProSafe 16 Port 10/100 Rackmount Switch- JFS516NA","Netgear",
10316920,"LaCie Pocket Floppy Disk Drive - 706018","LaCie Pocket USB Floppy 1.44 MB","LACIE",
10326220,"Canon KP 36IP Print Cartridge / Paper Kit - 7737A001","36 Page 4' x 6'","Canon",$9.99
10333368,"Kensington Orbit Optical Trackball - USB w/PS2 Adapter - 64327","Optical - USB, PS/2","Kensington",
10333846,"Linksys EtherFast EF4116 Ethernet Switch","16 x 10/100Base-TX LAN","LINKSYS",
10333848,"Linksys EtherFast EF4124 Ethernet Switch","24 x 10/100Base-TX LAN","LINKSYS",$64.99
10343605,"Linksys Instant Gigabit EG005W Ethernet Switch","Linksys EG005W Gigabit 5-Port Workgroup Switch","LINKSYS",
10346525,"Linksys G Wireless-G WET54G Wireless Bridge","54Mbps - 1 x 10/100Base-TX","LINKSYS",
10351869,"Tripp Lite PowerVerter 375-Watt Ultra-Compact Inverter - PV375","Input Voltage:12V DC - Output Voltage:120V AC - 375W Pulse-width Modulated Sine Wave","Tripp Lite",
10353206,"Netgear ProSafe GS105 Ethernet Switch - GS105NA","NETGEAR ProSafe 5 Port Gigabit Desktop Switch","Netgear",
10360978,"Belkin Monitor Cable - F3H982-25","1 x HD-15 - 1 x HD-15 - 25ft - Black","Belkin",$15.98
10363070,"Logitech Driving Force Pro for PlayStation 2 - 963293-0403",,"Logitech",
10363243,"Belkin AC Anywhere 300W Power Inverter - F5C400-300W","Input Voltage:12V DC - Output Voltage:110V AC - 300W Stepped Sine Wave","Belkin",
10365096,"Linksys Wireless-G Range Expander Wireless Bridge - WRE54G","54Mbps","LINKSYS",
10373002,"Sony VAIO Notebook and AC Adapter Case - VGPAMC2","VAIO NEOPRENE NOTEBOOK & AC ADAPTER CASE UP TO 17 IN LCD","Sony",
10376165,"D-Link Express EtherNetwork High-Speed DOCSIS 2.0 Cable Modem - DCM-202","D-Link Broadband Cable Modem","D-Link",
10377226,"Sony Notebook and AC Adapter Cases - VGPAMC3","Clam Shell - Neoprene","Sony",$12.99
