id	title	director
<http://dbpedia.org/resource/Kill_or_Cure_%281962_film%29>	Kill or Cure (1962 film)@en	George Pollock (director)@en
<http://dbpedia.org/resource/The_Gospel_According_to_St._Matthew_%28film%29>	The Gospel According to St. Matthew (film)@en	Pier Paolo Pasolini@en
<http://dbpedia.org/resource/We_Don%27t_Live_Here_Anymore>	We Don't Live Here Anymore@en	John Curran (director)@en
<http://dbpedia.org/resource/Of_Human_Bondage_%281934_film%29>	Of Human Bondage (1934 film)@en	John Cromwell (director)@en
<http://dbpedia.org/resource/The_Heart_of_the_Matter_%28film%29>	The Heart of the Matter (film)@en	George More O'Ferrall@en
<http://dbpedia.org/resource/The_Dream_Girl_%28film%29>	The Dream Girl (film)@en	Cecil B. DeMille@en
<http://dbpedia.org/resource/The_Colony_%28film%29>	The Colony (film)@en	Tim Hunter (director)@en
<http://dbpedia.org/resource/Attack_on_Terror:_The_FBI_vs._the_Ku_Klux_Klan>	Attack on Terror: The FBI vs. the Ku Klux Klan@en	Marvin J. Chomsky@en
<http://dbpedia.org/resource/Halloween_III:_Season_of_the_Witch>	Halloween III: Season of the Witch@en	Tommy Lee Wallace@en
<http://dbpedia.org/resource/Death_Race_%28film%29>	Death Race (film)@en	Paul W. S. Anderson@en
<http://dbpedia.org/resource/You_Can%27t_Believe_Everything>	You Can't Believe Everything@en	Jack Conway (filmmaker)@en
<http://dbpedia.org/resource/The_Positively_True_Adventures_of_the_Alleged_Texas_Cheerleader-Murdering_Mom>	The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom@en	Michael Ritchie (film director)@en
<http://dbpedia.org/resource/What_Happens_in_Vegas>	What Happens in Vegas@en	Tom Vaughan (director)@en
<http://dbpedia.org/resource/Tristan_&_Isolde_%28film%29>	Tristan & Isolde (film)@en	Kevin Reynolds (director)@en
<http://dbpedia.org/resource/The_Computer_Wore_Tennis_Shoes>	The Computer Wore Tennis Shoes@en	Robert Butler (director)@en
<http://dbpedia.org/resource/Cat,_Dog_&_Co.>	Cat, Dog & Co.@en	Robert A. McGowan@en
<http://dbpedia.org/resource/A_Good_Woman_%28film%29>	A Good Woman (film)@en	Mike Barker (film director)@en
<http://dbpedia.org/resource/Finger_Prints_%28serial%29>	Finger Prints (serial)@en	Ray Taylor (director)@en
<http://dbpedia.org/resource/Chalti_Ka_Naam_Gaadi>	Chalti Ka Naam Gaadi@en	Satyen Bose (director)@en
<http://dbpedia.org/resource/Executive_Action_%28film%29>	Executive Action (film)@en	David Miller (director)@en
<http://dbpedia.org/resource/Tales_from_the_Darkside:_The_Movie>	Tales from the Darkside: The Movie@en	John Harrison (filmmaker)@en
<http://dbpedia.org/resource/Junior_G-Men_%28serial%29>	Junior G-Men (serial)@en	Ford Beebe@en
<http://dbpedia.org/resource/A_Wrinkle_in_Time_%28film%29>	A Wrinkle in Time (film)@en	John Kent Harrison@en
<http://dbpedia.org/resource/Brighty_of_the_Grand_Canyon>	Brighty of the Grand Canyon@en	Norman Foster (director)@en
<http://dbpedia.org/resource/The_Four_Horsemen_of_the_Apocalypse_%28film%29>	The Four Horsemen of the Apocalypse (film)@en	Rex Ingram (director)@en
<http://dbpedia.org/resource/Viva_Knievel%21>	Viva Knievel!@en	Gordon Douglas (director)@en
<http://dbpedia.org/resource/Do_or_Die_%28serial%29>	Do or Die (serial)@en	J. P. McGowan@en
<http://dbpedia.org/resource/The_Great_Alaskan_Mystery>	The Great Alaskan Mystery@en	Ray Taylor (director)@en
<http://dbpedia.org/resource/They%27re_a_Weird_Mob_%28film%29>	They're a Weird Mob (film)@en	Michael Powell (director)@en
