id,title,director
"<http://data.linkedmdb.org/resource/film/40037>","Kill or Cure","George Pollock (Director)"
"<http://data.linkedmdb.org/resource/film/360>","The Gospel According to St. Matthew","Pier Paolo Pasolini (Director)"
"<http://data.linkedmdb.org/resource/film/4144>","We Don't Live Here Anymore","John Curran (Director)"
"<http://data.linkedmdb.org/resource/film/10770>","Of Human Bondage","John Cromwell (Director)"
"<http://data.linkedmdb.org/resource/film/9927>","The Heart of the Matter","George More O'Ferrall (Director)"
"<http://data.linkedmdb.org/resource/film/23751>","The Dream Girl","Cecil B. DeMille (Director)"
"<http://data.linkedmdb.org/resource/film/51677>","The Colony","Tim Hunter (Director)"
"<http://data.linkedmdb.org/resource/film/4821>","Attack on Terror: The FBI vs. the Ku Klux Klan","Marvin J. Chomsky (Director)"
"<http://data.linkedmdb.org/resource/film/623>","Halloween III: Season of the Witch","Tommy Lee Wallace (Director)"
"<http://data.linkedmdb.org/resource/film/21433>","Death Race","Paul W. S. Anderson (Director)"
"<http://data.linkedmdb.org/resource/film/86868>","You Can't Believe Everything","Jack Conway (Director)"
"<http://data.linkedmdb.org/resource/film/47137>","The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom","Michael Ritchie (Director)"
"<http://data.linkedmdb.org/resource/film/21686>","What Happens in Vegas...","Tom Vaughan (Director)"
"<http://data.linkedmdb.org/resource/film/4909>","Tristan & Isolde","Kevin Reynolds (Director)"
"<http://data.linkedmdb.org/resource/film/47754>","The Computer Wore Tennis Shoes","Robert Butler (Director)"
"<http://data.linkedmdb.org/resource/film/66623>","Cat, Dog & Co.","Robert A. McGowan (Director)"
"<http://data.linkedmdb.org/resource/film/3112>","A Good Woman","Mike Barker (Director)"
"<http://data.linkedmdb.org/resource/film/14990>","Finger Prints","Ray Taylor (Director)"
"<http://data.linkedmdb.org/resource/film/43524>","Chalti Ka Naam Gaadi","Satyen Bose (Director)"
"<http://data.linkedmdb.org/resource/film/3414>","Executive Action","David Miller (Director)"
"<http://data.linkedmdb.org/resource/film/1124>","Tales from the Darkside: The Movie","John Harrison (Director)"
"<http://data.linkedmdb.org/resource/film/15479>","Junior G-Men","John Rawlins (Director)"
"<http://data.linkedmdb.org/resource/film/11316>","A Wrinkle in Time","John Kent Harrison (Director)"
"<http://data.linkedmdb.org/resource/film/61203>","Brighty of the Grand Canyon","Norman Foster (Director)"
"<http://data.linkedmdb.org/resource/film/3360>","The Four Horsemen of the Apocalypse","Rex Ingram (Director)"
"<http://data.linkedmdb.org/resource/film/5530>","Viva Knievel!","Gordon Douglas (Director)"
"<http://data.linkedmdb.org/resource/film/25134>","Do or Die","J. P. McGowan (Director)"
"<http://data.linkedmdb.org/resource/film/48424>","The Great Alaskan Mystery","Lewis D. Collins (Director)"
"<http://data.linkedmdb.org/resource/film/2730>","They're a Weird Mob","Michael Powell (Director)"
