id,title,director
"<http://dbpedia.org/resource/Kill_or_Cure_%281962_film%29>","Kill or Cure (1962 film)","George Pollock (director)"
"<http://dbpedia.org/resource/The_Gospel_According_to_St._Matthew_%28film%29>","The Gospel According to St. Matthew (film)","Pier Paolo Pasolini"
"<http://dbpedia.org/resource/We_Don%27t_Live_Here_Anymore>","We Don't Live Here Anymore","John Curran (director)"
"<http://dbpedia.org/resource/Of_Human_Bondage_%281934_film%29>","Of Human Bondage (1934 film)","John Cromwell (director)"
"<http://dbpedia.org/resource/The_Heart_of_the_Matter_%28film%29>","The Heart of the Matter (film)","George More O'Ferrall"
"<http://dbpedia.org/resource/The_Dream_Girl_%28film%29>","The Dream Girl (film)","Cecil B. DeMille"
"<http://dbpedia.org/resource/The_Colony_%28film%29>","The Colony (film)","Tim Hunter (director)"
"<http://dbpedia.org/resource/Attack_on_Terror:_The_FBI_vs._the_Ku_Klux_Klan>","Attack on Terror: The FBI vs. the Ku Klux Klan","Marvin J. Chomsky"
"<http://dbpedia.org/resource/Halloween_III:_Season_of_the_Witch>","Halloween III: Season of the Witch","Tommy Lee Wallace"
"<http://dbpedia.org/resource/Death_Race_%28film%29>","Death Race (film)","Paul W. S. Anderson"
"<http://dbpedia.org/resource/You_Can%27t_Believe_Everything>","You Can't Believe Everything","Jack Conway (filmmaker)"
"<http://dbpedia.org/resource/The_Positively_True_Adventures_of_the_Alleged_Texas_Cheerleader-Murdering_Mom>","The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom","Michael Ritchie (film director)"
"<http://dbpedia.org/resource/What_Happens_in_Vegas>","What Happens in Vegas","Tom Vaughan (director)"
"<http://dbpedia.org/resource/Tristan_&_Isolde_%28film%29>","Tristan & Isolde (film)","Kevin Reynolds (director)"
"<http://dbpedia.org/resource/The_Computer_Wore_Tennis_Shoes>","The Computer Wore Tennis Shoes","Robert Butler (director)"
"<http://dbpedia.org/resource/Cat,_Dog_&_Co.>","Cat, Dog & Co.","Robert A. McGowan"
"<http://dbpedia.org/resource/A_Good_Woman_%28film%29>","A Good Woman (film)","Mike Barker (film director)"
"<http://dbpedia.org/resource/Finger_Prints_%28serial%29>","Finger Prints (serial)","Ray Taylor (director)"
"<http://dbpedia.org/resource/Chalti_Ka_Naam_Gaadi>","Chalti Ka Naam Gaadi","Satyen Bose (director)"
"<http://dbpedia.org/resource/Executive_Action_%28film%29>","Executive Action (film)","David Miller (director)"
"<http://dbpedia.org/resource/Tales_from_the_Darkside:_The_Movie>","Tales from the Darkside: The Movie","John Harrison (filmmaker)"
"<http://dbpedia.org/resource/Junior_G-Men_%28serial%29>","Junior G-Men (serial)","Ford Beebe"
"<http://dbpedia.org/resource/A_Wrinkle_in_Time_%28film%29>","A Wrinkle in Time (film)","John Kent Harrison"
"<http://dbpedia.org/resource/Brighty_of_the_Grand_Canyon>","Brighty of the Grand Canyon","Norman Foster (director)"
"<http://dbpedia.org/resource/The_Four_Horsemen_of_the_Apocalypse_%28film%29>","The Four Horsemen of the Apocalypse (film)","Rex Ingram (director)"
"<http://dbpedia.org/resource/Viva_Knievel%21>","Viva Knievel!","Gordon Douglas (director)"
"<http://dbpedia.org/resource/Do_or_Die_%28serial%29>","Do or Die (serial)","J. P. McGowan"
"<http://dbpedia.org/resource/The_Great_Alaskan_Mystery>","The Great Alaskan Mystery","Ray Taylor (director)"
"<http://dbpedia.org/resource/They%27re_a_Weird_Mob_%28film%29>","They're a Weird Mob (film)","Michael Powell (director)"
"<http://dbpedia.org/resource/The_Restless_Conscience:_Resistance_to_Hitler_Within_Germany_1933-1945>","The Restless Conscience: Resistance to Hitler Within Germany 1933-1945","Hava Kohav Beller"
"<http://dbpedia.org/resource/The_Extra_Man_%28film%29>","The Extra Man (film)","Shari Springer Berman"
"<http://dbpedia.org/resource/Scouts_to_the_Rescue>","Scouts to the Rescue","Ray Taylor (director)"
"<http://dbpedia.org/resource/I%27m_All_Right_Jack>","I'm All Right Jack","John and Roy Boulting"
"<http://dbpedia.org/resource/Slow_Dancing_in_the_Big_City>","Slow Dancing in the Big City","John G. Avildsen"
"<http://dbpedia.org/resource/Calendar_Girl_Murders>","Calendar Girl Murders","William A. Graham (director)"
"<http://dbpedia.org/resource/The_Long_Good_Friday>","The Long Good Friday","John Mackenzie (director)"
