iddbpeda,idlinkedmdb
http://dbpedia.org/resource/Ghost_Dog:_The_Way_of_the_Samurai,http://data.linkedmdb.org/resource/film/961
http://dbpedia.org/resource/Spy_Kids_2:_The_Island_of_Lost_Dreams,http://data.linkedmdb.org/resource/film/10181
http://dbpedia.org/resource/Kingdom_of_Heaven_(film),http://data.linkedmdb.org/resource/film/794
http://dbpedia.org/resource/The_Boss_of_It_All,http://data.linkedmdb.org/resource/film/12872
http://dbpedia.org/resource/Shine_a_Light_(film),http://data.linkedmdb.org/resource/film/13611
http://dbpedia.org/resource/King_of_the_Hill_(film),http://data.linkedmdb.org/resource/film/1980
http://dbpedia.org/resource/Body_of_Lies_(film),http://data.linkedmdb.org/resource/film/15325
http://dbpedia.org/resource/Buena_Vista_Social_Club_(film),http://data.linkedmdb.org/resource/film/664
http://dbpedia.org/resource/A_Huey_P._Newton_Story,http://data.linkedmdb.org/resource/film/12436
http://dbpedia.org/resource/Snake_Eyes_(film),http://data.linkedmdb.org/resource/film/2535
http://dbpedia.org/resource/There's_Only_One_Jimmy_Grimble,http://data.linkedmdb.org/resource/film/6168
http://dbpedia.org/resource/For_Your_Consideration_(film),http://data.linkedmdb.org/resource/film/4420
http://dbpedia.org/resource/Ladybird,_Ladybird_(film),http://data.linkedmdb.org/resource/film/9432
http://dbpedia.org/resource/The_Winslow_Boy_(1999_film),http://data.linkedmdb.org/resource/film/8553
http://dbpedia.org/resource/Looking_for_Comedy_in_the_Muslim_World,http://data.linkedmdb.org/resource/film/44766
http://dbpedia.org/resource/City_of_Hope_(film),http://data.linkedmdb.org/resource/film/16066
http://dbpedia.org/resource/The_Adventures_of_Sharkboy_and_Lavagirl_in_3-D,http://data.linkedmdb.org/resource/film/42308
http://dbpedia.org/resource/The_Game_(film),http://data.linkedmdb.org/resource/film/5809
http://dbpedia.org/resource/A_Brief_History_of_Time_(film),http://data.linkedmdb.org/resource/film/2418
http://dbpedia.org/resource/Casa_de_los_Babys,http://data.linkedmdb.org/resource/film/44323
http://dbpedia.org/resource/Neil_Young:_Heart_of_Gold,http://data.linkedmdb.org/resource/film/6578
http://dbpedia.org/resource/My_Name_Is_Joe,http://data.linkedmdb.org/resource/film/41319
http://dbpedia.org/resource/From_Dusk_Till_Dawn,http://data.linkedmdb.org/resource/film/39428
http://dbpedia.org/resource/George_Wallace_(film),http://data.linkedmdb.org/resource/film/5252
http://dbpedia.org/resource/Everyone_Says_I_Love_You,http://data.linkedmdb.org/resource/film/38186
http://dbpedia.org/resource/Blue_in_the_Face,http://data.linkedmdb.org/resource/film/39968
http://dbpedia.org/resource/The_Quick_and_the_Dead_(1995_film),http://data.linkedmdb.org/resource/film/40030
http://dbpedia.org/resource/Wild_at_Heart_(film),http://data.linkedmdb.org/resource/film/630
http://dbpedia.org/resource/Alice_in_Wonderland_(1966_TV_play),http://data.linkedmdb.org/resource/film/65505
http://dbpedia.org/resource/The_Last_of_the_Mohicans_(1920_American_film)http://data.linkedmdb.org/resource/film/2393
http://dbpedia.org/resource/A_Walk_in_the_Spring_Rain,http://data.linkedmdb.org/resource/film/42585
http://dbpedia.org/resource/The_Man_with_the_Punch,http://data.linkedmdb.org/resource/film/42721
http://dbpedia.org/resource/My_Name_is_Tanino,http://data.linkedmdb.org/resource/film/41319
http://dbpedia.org/resource/South_of_the_Border_with_Disney,http://data.linkedmdb.org/resource/film/91374
